t (s),V (mV)
0,18.5305
0.974,18.5359
1.914,18.5403
2.913,18.539
3.913,18.532
4.913,18.5243
5.914,18.5155
6.913,18.5063
7.913,18.4956
8.913,18.4846
9.914,18.4741
10.913,18.4616
11.913,18.4512
12.913,18.4399
13.914,18.4267
14.913,18.4139
15.913,18.402
16.913,18.3889
17.913,18.3768
18.913,18.3626
19.913,18.3487
20.913,18.334
21.914,18.3199
22.913,18.3044
23.913,18.2914
24.913,18.2774
25.913,18.2622
26.913,18.2483
27.913,18.2335
28.913,18.2185
29.913,18.2054
30.914,18.1926
31.913,18.1782
32.914,18.1609
33.913,18.1452
34.913,18.1308
35.914,18.1162
36.913,18.1019
37.913,18.0879
38.913,18.0723
39.913,18.0579
40.913,18.0428
41.913,18.0281
42.914,18.0131
43.913,17.9996
44.913,17.9848
45.914,17.9696
46.914,17.9554
47.913,17.9413
48.914,17.9268
49.914,17.9119
50.913,17.898
51.913,17.8841
52.913,17.8702
53.913,17.8555
54.913,17.8408
55.913,17.8271
56.913,17.8116
57.913,17.7986
58.914,17.7833
59.913,17.769
60.913,17.7542
61.914,17.7403
62.913,17.725
63.914,17.7097
64.913,17.6954
65.913,17.6811
66.914,17.6659
67.913,17.6509
68.913,17.6357
69.914,17.6198
70.913,17.6037
71.914,17.5895
72.913,17.573
73.914,17.5586
74.914,17.5431
75.913,17.5281
76.913,17.5132
77.913,17.4987
78.913,17.4839
79.914,17.4708
80.913,17.4565
81.913,17.4417
82.913,17.4287
83.913,17.4142
84.913,17.3997
85.914,17.3855
86.913,17.3729
87.913,17.3581
88.913,17.3444
89.913,17.33
90.913,17.3156
91.913,17.3004
92.913,17.2854
93.914,17.2718
94.913,17.2571
95.914,17.2428
96.913,17.2272
97.913,17.2118
98.914,17.1969
99.913,17.1826
100.913,17.1686
101.914,17.1551
102.913,17.1413
103.913,17.1282
104.913,17.1149
105.914,17.1012
106.913,17.0883
107.913,17.0751
108.914,17.0617
109.913,17.0484
110.913,17.0344
111.914,17.0209
112.913,17.007
113.913,16.9928
114.914,16.9796
115.913,16.9653
116.914,16.9506
117.913,16.9355
118.913,16.9216
119.914,16.9073
120.913,16.8918
