WL/nm,Abs
700.00,0.002
699.00,0.002
698.00,0.002
697.00,0.002
696.00,0.002
695.00,0.002
694.00,0.002
693.00,0.002
692.00,0.002
691.00,0.002
690.00,0.002
689.00,0.002
688.00,0.002
687.00,0.002
686.00,0.002
685.00,0.002
684.00,0.002
683.00,0.002
682.00,0.002
681.00,0.002
680.00,0.002
679.00,0.002
678.00,0.002
677.00,0.002
676.00,0.002
675.00,0.002
674.00,0.002
673.00,0.002
672.00,0.002
671.00,0.002
670.00,0.002
669.00,0.002
668.00,0.002
667.00,0.002
666.00,0.002
665.00,0.002
664.00,0.002
663.00,0.002
662.00,0.002
661.00,0.002
660.00,0.002
659.00,0.002
658.00,0.003
657.00,0.003
656.00,0.003
655.00,0.003
654.00,0.003
653.00,0.003
652.00,0.003
651.00,0.003
650.00,0.003
649.00,0.003
648.00,0.003
647.00,0.003
646.00,0.003
645.00,0.003
644.00,0.004
643.00,0.004
642.00,0.004
641.00,0.004
640.00,0.004
639.00,0.005
638.00,0.005
637.00,0.005
636.00,0.005
635.00,0.006
634.00,0.007
633.00,0.007
632.00,0.007
631.00,0.008
630.00,0.009
629.00,0.010
628.00,0.010
627.00,0.011
626.00,0.012
625.00,0.014
624.00,0.015
623.00,0.016
622.00,0.018
621.00,0.019
620.00,0.021
619.00,0.023
618.00,0.026
617.00,0.029
616.00,0.031
615.00,0.035
614.00,0.038
613.00,0.042
612.00,0.047
611.00,0.052
610.00,0.057
609.00,0.063
608.00,0.070
607.00,0.077
606.00,0.085
605.00,0.093
604.00,0.103
603.00,0.113
602.00,0.125
601.00,0.138
600.00,0.153
599.00,0.169
598.00,0.186
597.00,0.206
596.00,0.227
595.00,0.250
594.00,0.276
593.00,0.306
592.00,0.336
591.00,0.370
590.00,0.408
589.00,0.447
588.00,0.492
587.00,0.540
586.00,0.593
585.00,0.650
584.00,0.711
583.00,0.777
582.00,0.848
581.00,0.925
580.00,1.005
579.00,1.090
578.00,1.183
577.00,1.282
576.00,1.385
575.00,1.495
574.00,1.608
573.00,1.725
572.00,1.847
571.00,1.975
570.00,2.104
569.00,2.232
568.00,2.359
567.00,2.481
566.00,2.593
565.00,2.692
564.00,2.788
563.00,2.868
562.00,2.941
561.00,2.992
560.00,3.037
559.00,3.062
558.00,3.089
557.00,3.101
556.00,3.118
555.00,3.126
554.00,3.129
553.00,3.126
552.00,3.121
551.00,3.122
550.00,3.117
549.00,3.100
548.00,3.094
547.00,3.076
546.00,3.051
545.00,3.030
544.00,3.000
543.00,2.972
542.00,2.933
541.00,2.890
540.00,2.843
539.00,2.798
538.00,2.746
537.00,2.696
536.00,2.708
535.00,2.708
534.00,2.635
533.00,2.563
532.00,2.499
531.00,2.434
530.00,2.373
529.00,2.311
528.00,2.254
527.00,2.198
526.00,2.145
525.00,2.092
524.00,2.043
523.00,1.993
522.00,1.944
521.00,1.897
520.00,1.850
519.00,1.804
518.00,1.759
517.00,1.715
516.00,1.671
515.00,1.628
514.00,1.584
513.00,1.540
512.00,1.499
511.00,1.459
510.00,1.418
509.00,1.379
508.00,1.341
507.00,1.303
506.00,1.267
505.00,1.231
504.00,1.194
503.00,1.158
502.00,1.123
501.00,1.088
500.00,1.054
499.00,1.023
498.00,0.991
497.00,0.960
496.00,0.930
495.00,0.901
494.00,0.872
493.00,0.844
492.00,0.818
491.00,0.792
490.00,0.767
489.00,0.743
488.00,0.720
487.00,0.697
486.00,0.675
485.00,0.654
484.00,0.633
483.00,0.613
482.00,0.594
481.00,0.576
480.00,0.558
479.00,0.541
478.00,0.524
477.00,0.507
476.00,0.492
475.00,0.476
474.00,0.461
473.00,0.447
472.00,0.433
471.00,0.419
470.00,0.405
469.00,0.392
468.00,0.379
467.00,0.367
466.00,0.354
465.00,0.343
464.00,0.331
463.00,0.320
462.00,0.309
461.00,0.299
460.00,0.289
459.00,0.280
458.00,0.270
457.00,0.261
456.00,0.253
455.00,0.244
454.00,0.236
453.00,0.228
452.00,0.220
451.00,0.213
450.00,0.206
449.00,0.199
448.00,0.192
447.00,0.186
446.00,0.180
445.00,0.174
444.00,0.168
443.00,0.163
442.00,0.157
441.00,0.153
440.00,0.148
439.00,0.143
438.00,0.139
437.00,0.134
436.00,0.131
435.00,0.126
434.00,0.123
433.00,0.119
432.00,0.116
431.00,0.113
430.00,0.110
429.00,0.107
428.00,0.105
427.00,0.102
426.00,0.100
425.00,0.098
424.00,0.096
423.00,0.095
422.00,0.094
421.00,0.093
420.00,0.093
419.00,0.093
418.00,0.094
417.00,0.095
416.00,0.096
415.00,0.098
414.00,0.102
413.00,0.105
412.00,0.110
411.00,0.115
410.00,0.121
409.00,0.129
408.00,0.137
407.00,0.145
406.00,0.156
405.00,0.167
404.00,0.180
403.00,0.194
402.00,0.211
401.00,0.228
400.00,0.246
399.00,0.266
398.00,0.287
397.00,0.309
396.00,0.332
395.00,0.357
394.00,0.381
393.00,0.407
392.00,0.432
391.00,0.458
390.00,0.484
389.00,0.509
388.00,0.532
387.00,0.555
386.00,0.577
385.00,0.598
384.00,0.617
383.00,0.634
382.00,0.649
381.00,0.663
380.00,0.674
379.00,0.683
378.00,0.690
377.00,0.696
376.00,0.700
375.00,0.701
374.00,0.701
373.00,0.700
372.00,0.697
371.00,0.693
370.00,0.688
369.00,0.681
368.00,0.673
367.00,0.664
366.00,0.654
365.00,0.644
364.00,0.633
363.00,0.621
362.00,0.611
361.00,0.598
360.00,0.586
359.00,0.573
358.00,0.560
357.00,0.547
356.00,0.534
355.00,0.520
354.00,0.508
353.00,0.495
352.00,0.482
351.00,0.470
350.00,0.458
349.00,0.446
348.00,0.434
347.00,0.424
346.00,0.414
345.00,0.405
344.00,0.396
