WL/nm,Abs
700.00,-0.000
699.00,-0.000
698.00,-0.000
697.00,-0.000
696.00,-0.000
695.00,-0.000
694.00,-0.000
693.00,-0.000
692.00,-0.000
691.00,-0.000
690.00,-0.000
689.00,-0.000
688.00,-0.000
687.00,-0.000
686.00,-0.000
685.00,-0.000
684.00,-0.000
683.00,-0.000
682.00,-0.000
681.00,-0.000
680.00,-0.000
679.00,-0.000
678.00,-0.000
677.00,-0.000
676.00,-0.000
675.00,-0.000
674.00,-0.000
673.00,-0.000
672.00,-0.000
671.00,-0.000
670.00,-0.000
669.00,-0.000
668.00,-0.000
667.00,-0.000
666.00,-0.000
665.00,-0.000
664.00,-0.000
663.00,-0.000
662.00,-0.000
661.00,-0.000
660.00,-0.000
659.00,-0.000
658.00,-0.000
657.00,-0.000
656.00,-0.000
655.00,-0.000
654.00,-0.000
653.00,-0.000
652.00,-0.000
651.00,-0.000
650.00,-0.000
649.00,-0.001
648.00,-0.001
647.00,-0.001
646.00,-0.001
645.00,-0.001
644.00,-0.001
643.00,-0.001
642.00,-0.001
641.00,-0.001
640.00,-0.001
639.00,-0.001
638.00,-0.001
637.00,-0.001
636.00,-0.001
635.00,-0.001
634.00,-0.001
633.00,-0.001
632.00,-0.001
631.00,-0.001
630.00,-0.001
629.00,-0.001
628.00,-0.001
627.00,-0.001
626.00,-0.001
625.00,-0.001
624.00,-0.001
623.00,-0.001
622.00,-0.001
621.00,-0.001
620.00,-0.001
619.00,-0.001
618.00,-0.001
617.00,-0.001
616.00,-0.001
615.00,-0.001
614.00,-0.001
613.00,-0.001
612.00,-0.001
611.00,-0.001
610.00,-0.001
609.00,-0.001
608.00,-0.001
607.00,-0.001
606.00,-0.001
605.00,-0.001
604.00,-0.001
603.00,-0.001
602.00,-0.001
601.00,-0.001
600.00,-0.001
599.00,-0.001
598.00,-0.001
597.00,-0.001
596.00,-0.001
595.00,-0.001
594.00,-0.001
593.00,-0.001
592.00,-0.000
591.00,-0.000
590.00,-0.001
589.00,-0.000
588.00,-0.000
587.00,-0.000
586.00,-0.000
585.00,-0.000
584.00,-0.000
583.00,-0.000
582.00,-0.000
581.00,-0.000
580.00,-0.000
579.00,-0.000
578.00,-0.000
577.00,-0.000
576.00,-0.000
575.00,-0.000
574.00,-0.000
573.00,-0.000
572.00,-0.000
571.00,-0.000
570.00,-0.000
569.00,-0.000
568.00,-0.000
567.00,-0.000
566.00,-0.000
565.00,-0.000
564.00,-0.000
563.00,-0.000
