Time/sec,Abs
0.0,3.059
0.5,3.059
1.0,3.057
1.5,3.059
2.0,3.060
2.5,3.059
3.0,3.057
3.5,3.056
4.0,3.054
4.5,3.051
5.0,3.051
5.5,3.049
6.0,3.050
6.5,3.048
7.0,3.047
7.5,3.046
8.0,3.044
8.5,3.044
9.0,3.041
9.5,3.038
10.0,3.040
10.5,3.039
11.0,3.036
11.5,3.036
12.0,3.033
12.5,3.033
13.0,3.033
13.5,3.029
14.0,3.029
14.5,3.026
15.0,3.027
15.5,3.024
16.0,3.023
16.5,3.020
17.0,3.019
17.5,3.016
18.0,3.018
18.5,3.016
19.0,3.012
19.5,3.014
20.0,3.010
20.5,3.008
21.0,3.010
21.5,3.007
22.0,3.004
22.5,3.004
23.0,2.999
23.5,3.000
24.0,2.998
24.5,2.999
25.0,2.998
25.5,2.997
26.0,2.995
26.5,2.993
27.0,2.991
27.5,2.991
28.0,2.987
28.5,2.986
29.0,2.988
29.5,2.983
30.0,2.985
30.5,2.980
31.0,2.980
31.5,2.978
32.0,2.979
32.5,2.975
33.0,2.975
33.5,2.974
34.0,2.976
34.5,2.973
35.0,2.970
35.5,2.968
36.0,2.968
36.5,2.969
37.0,2.964
37.5,2.961
38.0,2.962
38.5,2.959
39.0,2.957
39.5,2.956
40.0,2.957
40.5,2.955
41.0,2.954
41.5,2.951
42.0,2.948
42.5,2.947
43.0,2.948
43.5,2.944
44.0,2.944
44.5,2.941
45.0,2.939
45.5,2.940
46.0,2.936
46.5,2.933
47.0,2.934
47.5,2.931
48.0,2.930
48.5,2.930
49.0,2.925
49.5,2.926
50.0,2.922
50.5,2.922
51.0,2.920
51.5,2.917
52.0,2.919
52.5,2.917
53.0,2.914
53.5,2.911
54.0,2.912
54.5,2.907
55.0,2.907
55.5,2.906
56.0,2.903
56.5,2.904
57.0,2.902
57.5,2.898
58.0,2.899
58.5,2.895
59.0,2.894
59.5,2.891
60.0,2.891
60.5,2.887
61.0,2.887
61.5,2.883
62.0,2.881
62.5,2.880
63.0,2.878
63.5,2.878
64.0,2.875
64.5,2.874
65.0,2.873
65.5,2.870
66.0,2.868
66.5,2.869
67.0,2.866
67.5,2.864
68.0,2.861
68.5,2.859
69.0,2.858
69.5,2.854
70.0,2.853
70.5,2.854
71.0,2.852
71.5,2.851
72.0,2.848
72.5,2.847
73.0,2.846
