Time/sec,Abs
0.0,2.975
0.5,2.970
1.0,2.969
1.5,2.967
2.0,2.962
2.5,2.961
3.0,2.955
3.5,2.954
4.0,2.948
4.5,2.948
5.0,2.943
5.5,2.938
6.0,2.932
6.5,2.928
7.0,2.923
7.5,2.918
8.0,2.916
8.5,2.909
9.0,2.908
9.5,2.902
10.0,2.899
10.5,2.893
11.0,2.892
11.5,2.888
12.0,2.882
12.5,2.879
13.0,2.878
13.5,2.871
14.0,2.870
14.5,2.864
15.0,2.859
15.5,2.856
16.0,2.849
16.5,2.846
17.0,2.845
17.5,2.840
18.0,2.836
18.5,2.834
19.0,2.827
19.5,2.824
20.0,2.820
20.5,2.817
21.0,2.812
21.5,2.807
22.0,2.804
22.5,2.802
23.0,2.797
23.5,2.792
24.0,2.787
24.5,2.783
25.0,2.780
25.5,2.775
26.0,2.770
26.5,2.767
27.0,2.762
27.5,2.758
28.0,2.753
28.5,2.747
29.0,2.745
29.5,2.739
30.0,2.735
30.5,2.730
31.0,2.726
31.5,2.721
32.0,2.716
32.5,2.710
33.0,2.707
33.5,2.702
34.0,2.697
34.5,2.694
35.0,2.688
35.5,2.684
36.0,2.680
36.5,2.675
37.0,2.670
37.5,2.666
38.0,2.661
38.5,2.657
39.0,2.652
39.5,2.647
40.0,2.642
40.5,2.638
41.0,2.633
41.5,2.628
42.0,2.624
42.5,2.619
43.0,2.614
43.5,2.611
44.0,2.605
44.5,2.601
45.0,2.596
45.5,2.591
46.0,2.588
46.5,2.583
47.0,2.577
47.5,2.572
48.0,2.569
48.5,2.564
49.0,2.560
49.5,2.555
50.0,2.550
50.5,2.546
51.0,2.542
51.5,2.537
52.0,2.531
52.5,2.527
53.0,2.523
53.5,2.518
54.0,2.513
54.5,2.508
55.0,2.504
55.5,2.500
56.0,2.494
56.5,2.490
57.0,2.486
57.5,2.480
58.0,2.475
58.5,2.470
59.0,2.466
59.5,2.462
60.0,2.457
60.5,2.452
61.0,2.448
61.5,2.442
62.0,2.438
62.5,2.433
63.0,2.429
63.5,2.424
64.0,2.419
64.5,2.414
65.0,2.410
65.5,2.406
66.0,2.401
66.5,2.395
67.0,2.391
67.5,2.387
68.0,2.382
68.5,2.378
69.0,2.373
69.5,2.368
70.0,2.364
70.5,2.359
71.0,2.355
71.5,2.350
72.0,2.345
72.5,2.340
73.0,2.336
73.5,2.332
74.0,2.327
74.5,2.322
75.0,2.318
75.5,2.313
76.0,2.309
76.5,2.304
77.0,2.300
77.5,2.295
78.0,2.290
78.5,2.286
79.0,2.282
79.5,2.277
80.0,2.273
80.5,2.269
81.0,2.264
81.5,2.259
82.0,2.255
82.5,2.250
83.0,2.246
83.5,2.241
84.0,2.237
84.5,2.233
85.0,2.228
85.5,2.224
86.0,2.219
86.5,2.215
87.0,2.211
87.5,2.207
88.0,2.202
88.5,2.197
89.0,2.193
89.5,2.189
90.0,2.184
90.5,2.180
91.0,2.176
91.5,2.172
92.0,2.167
92.5,2.163
93.0,2.158
93.5,2.154
94.0,2.150
94.5,2.145
95.0,2.141
95.5,2.136
96.0,2.132
96.5,2.128
97.0,2.124
97.5,2.119
98.0,2.115
98.5,2.111
99.0,2.107
99.5,2.102
100.0,2.098
100.5,2.094
101.0,2.090
101.5,2.085
102.0,2.081
102.5,2.077
103.0,2.073
103.5,2.069
104.0,2.064
104.5,2.060
105.0,2.056
105.5,2.052
106.0,2.048
106.5,2.044
107.0,2.040
107.5,2.036
108.0,2.032
108.5,2.028
109.0,2.024
109.5,2.020
110.0,2.016
110.5,2.012
111.0,2.007
111.5,2.003
112.0,1.999
112.5,1.995
113.0,1.991
113.5,1.987
114.0,1.983
114.5,1.979
115.0,1.975
115.5,1.971
116.0,1.967
116.5,1.963
117.0,1.959
117.5,1.955
118.0,1.951
118.5,1.947
119.0,1.943
119.5,1.939
120.0,1.935
120.5,1.931
121.0,1.927
121.5,1.923
122.0,1.919
122.5,1.915
123.0,1.912
123.5,1.908
124.0,1.904
124.5,1.900
125.0,1.896
125.5,1.892
126.0,1.888
126.5,1.884
127.0,1.880
127.5,1.877
128.0,1.873
128.5,1.869
129.0,1.865
129.5,1.861
130.0,1.857
130.5,1.854
131.0,1.850
131.5,1.846
132.0,1.842
132.5,1.839
133.0,1.835
133.5,1.831
134.0,1.827
134.5,1.823
135.0,1.820
135.5,1.816
136.0,1.812
136.5,1.808
137.0,1.805
137.5,1.801
138.0,1.797
138.5,1.794
139.0,1.790
139.5,1.786
140.0,1.783
140.5,1.779
141.0,1.775
141.5,1.772
142.0,1.768
142.5,1.765
143.0,1.761
143.5,1.757
144.0,1.754
144.5,1.750
145.0,1.746
145.5,1.743
146.0,1.739
146.5,1.736
147.0,1.732
147.5,1.728
148.0,1.725
148.5,1.721
149.0,1.718
149.5,1.714
150.0,1.711
150.5,1.707
151.0,1.704
151.5,1.700
152.0,1.697
152.5,1.693
153.0,1.690
153.5,1.686
154.0,1.683
154.5,1.679
155.0,1.676
155.5,1.672
156.0,1.669
156.5,1.666
157.0,1.662
157.5,1.659
158.0,1.655
158.5,1.652
159.0,1.648
159.5,1.645
160.0,1.642
160.5,1.638
161.0,1.635
161.5,1.632
162.0,1.628
162.5,1.625
163.0,1.622
163.5,1.618
164.0,1.615
164.5,1.612
165.0,1.608
165.5,1.605
166.0,1.602
166.5,1.598
167.0,1.595
167.5,1.592
168.0,1.589
168.5,1.585
169.0,1.582
169.5,1.579
170.0,1.576
170.5,1.572
171.0,1.569
171.5,1.566
172.0,1.563
172.5,1.559
173.0,1.556
173.5,1.553
174.0,1.550
174.5,1.546
175.0,1.543
175.5,1.540
176.0,1.537
176.5,1.534
177.0,1.531
177.5,1.527
178.0,1.524
178.5,1.521
179.0,1.518
179.5,1.515
180.0,1.512
180.5,1.509
181.0,1.506
181.5,1.503
182.0,1.500
182.5,1.497
183.0,1.493
183.5,1.490
184.0,1.487
184.5,1.484
185.0,1.481
185.5,1.478
186.0,1.475
186.5,1.472
187.0,1.469
187.5,1.466
188.0,1.463
188.5,1.460
189.0,1.457
189.5,1.454
190.0,1.452
190.5,1.449
191.0,1.446
191.5,1.443
192.0,1.440
192.5,1.437
193.0,1.434
193.5,1.431
194.0,1.428
194.5,1.425
195.0,1.422
195.5,1.420
196.0,1.417
196.5,1.414
197.0,1.411
197.5,1.408
198.0,1.405
198.5,1.402
199.0,1.400
199.5,1.397
200.0,1.394
200.5,1.391
201.0,1.388
201.5,1.386
202.0,1.383
202.5,1.380
203.0,1.377
203.5,1.375
204.0,1.372
204.5,1.369
205.0,1.366
205.5,1.363
206.0,1.361
206.5,1.358
207.0,1.355
207.5,1.353
208.0,1.350
208.5,1.347
209.0,1.344
209.5,1.342
210.0,1.339
210.5,1.336
211.0,1.334
211.5,1.331
212.0,1.328
212.5,1.326
213.0,1.323
213.5,1.320
214.0,1.318
214.5,1.315
215.0,1.312
215.5,1.310
216.0,1.307
216.5,1.305
217.0,1.302
217.5,1.299
218.0,1.297
218.5,1.294
219.0,1.291
219.5,1.289
220.0,1.286
220.5,1.284
221.0,1.281
221.5,1.279
222.0,1.276
222.5,1.274
223.0,1.271
223.5,1.268
224.0,1.266
224.5,1.263
225.0,1.261
225.5,1.258
226.0,1.256
226.5,1.253
227.0,1.251
227.5,1.248
228.0,1.246
228.5,1.243
229.0,1.241
229.5,1.238
230.0,1.236
230.5,1.234
231.0,1.231
231.5,1.229
232.0,1.226
232.5,1.224
233.0,1.221
233.5,1.219
234.0,1.217
234.5,1.214
235.0,1.212
235.5,1.209
236.0,1.207
236.5,1.204
237.0,1.202
237.5,1.200
238.0,1.197
238.5,1.195
239.0,1.193
239.5,1.190
240.0,1.188
240.5,1.186
241.0,1.183
241.5,1.181
242.0,1.179
242.5,1.176
243.0,1.174
243.5,1.172
244.0,1.169
244.5,1.167
245.0,1.165
245.5,1.163
246.0,1.160
246.5,1.158
247.0,1.156
247.5,1.153
248.0,1.151
248.5,1.149
249.0,1.147
249.5,1.144
250.0,1.142
250.5,1.140
251.0,1.138
251.5,1.135
252.0,1.133
252.5,1.131
253.0,1.129
253.5,1.127
254.0,1.124
254.5,1.122
255.0,1.120
255.5,1.118
256.0,1.116
256.5,1.113
257.0,1.111
257.5,1.109
258.0,1.107
258.5,1.105
259.0,1.103
259.5,1.101
260.0,1.099
260.5,1.096
261.0,1.094
261.5,1.092
262.0,1.090
262.5,1.088
263.0,1.086
263.5,1.084
264.0,1.082
264.5,1.080
265.0,1.078
265.5,1.076
266.0,1.073
266.5,1.071
267.0,1.069
267.5,1.067
268.0,1.065
268.5,1.063
269.0,1.061
269.5,1.059
270.0,1.057
270.5,1.055
271.0,1.053
271.5,1.051
272.0,1.049
272.5,1.047
273.0,1.045
273.5,1.043
274.0,1.041
274.5,1.038
275.0,1.036
275.5,1.034
276.0,1.032
276.5,1.030
277.0,1.028
277.5,1.026
278.0,1.024
278.5,1.022
279.0,1.020
279.5,1.018
280.0,1.016
280.5,1.014
281.0,1.012
281.5,1.010
282.0,1.008
282.5,1.006
283.0,1.004
283.5,1.002
284.0,1.000
284.5,0.998
285.0,0.996
285.5,0.994
286.0,0.992
286.5,0.990
287.0,0.988
287.5,0.986
288.0,0.984
288.5,0.983
289.0,0.981
289.5,0.979
290.0,0.977
290.5,0.975
291.0,0.973
291.5,0.971
292.0,0.969
292.5,0.968
293.0,0.966
293.5,0.964
294.0,0.962
294.5,0.960
295.0,0.958
295.5,0.956
296.0,0.955
296.5,0.953
297.0,0.951
297.5,0.949
298.0,0.947
298.5,0.946
299.0,0.944
299.5,0.942
300.0,0.940
300.5,0.938
301.0,0.937
301.5,0.935
302.0,0.933
302.5,0.931
303.0,0.930
303.5,0.928
304.0,0.926
304.5,0.924
305.0,0.923
305.5,0.921
306.0,0.919
306.5,0.917
307.0,0.916
307.5,0.914
308.0,0.912
308.5,0.910
309.0,0.909
309.5,0.907
310.0,0.905
310.5,0.904
311.0,0.902
311.5,0.900
312.0,0.899
312.5,0.897
313.0,0.895
313.5,0.893
314.0,0.892
314.5,0.890
315.0,0.888
315.5,0.887
316.0,0.885
316.5,0.883
317.0,0.882
317.5,0.880
318.0,0.878
318.5,0.877
319.0,0.875
319.5,0.873
320.0,0.872
320.5,0.870
321.0,0.868
321.5,0.867
322.0,0.865
322.5,0.864
323.0,0.862
323.5,0.860
324.0,0.859
324.5,0.857
325.0,0.855
325.5,0.854
326.0,0.852
326.5,0.851
327.0,0.849
327.5,0.848
328.0,0.846
328.5,0.845
329.0,0.843
329.5,0.841
330.0,0.840
330.5,0.838
331.0,0.837
331.5,0.835
332.0,0.834
332.5,0.832
333.0,0.831
333.5,0.829
334.0,0.827
334.5,0.826
335.0,0.824
335.5,0.823
336.0,0.821
336.5,0.820
337.0,0.818
337.5,0.817
338.0,0.815
338.5,0.814
339.0,0.812
339.5,0.811
340.0,0.809
340.5,0.808
341.0,0.806
341.5,0.805
342.0,0.803
342.5,0.802
343.0,0.800
343.5,0.799
344.0,0.798
344.5,0.796
345.0,0.795
345.5,0.793
346.0,0.792
346.5,0.790
347.0,0.789
347.5,0.787
348.0,0.786
348.5,0.785
349.0,0.783
349.5,0.782
350.0,0.780
350.5,0.779
351.0,0.777
351.5,0.776
352.0,0.775
352.5,0.773
353.0,0.772
353.5,0.770
354.0,0.769
354.5,0.767
355.0,0.766
355.5,0.765
356.0,0.763
356.5,0.762
357.0,0.761
357.5,0.759
358.0,0.758
358.5,0.756
359.0,0.755
359.5,0.754
360.0,0.752
360.5,0.751
361.0,0.749
361.5,0.748
362.0,0.747
362.5,0.745
363.0,0.744
363.5,0.743
364.0,0.741
364.5,0.740
365.0,0.739
365.5,0.737
366.0,0.736
366.5,0.735
367.0,0.733
367.5,0.732
368.0,0.731
368.5,0.729
369.0,0.728
369.5,0.727
370.0,0.725
370.5,0.724
371.0,0.723
371.5,0.722
372.0,0.720
372.5,0.719
373.0,0.718
373.5,0.716
374.0,0.715
374.5,0.714
375.0,0.713
375.5,0.711
376.0,0.710
376.5,0.709
377.0,0.707
377.5,0.706
378.0,0.705
378.5,0.704
379.0,0.702
379.5,0.701
380.0,0.700
380.5,0.699
381.0,0.697
381.5,0.696
382.0,0.695
382.5,0.694
383.0,0.692
383.5,0.691
384.0,0.690
384.5,0.689
385.0,0.688
385.5,0.686
386.0,0.685
386.5,0.684
387.0,0.683
387.5,0.682
388.0,0.680
388.5,0.679
389.0,0.678
389.5,0.677
390.0,0.675
390.5,0.674
391.0,0.673
391.5,0.672
392.0,0.671
392.5,0.670
393.0,0.668
393.5,0.667
394.0,0.666
394.5,0.665
395.0,0.664
395.5,0.663
396.0,0.661
396.5,0.660
397.0,0.659
397.5,0.658
398.0,0.657
398.5,0.656
399.0,0.655
