Time/sec,Abs
0.0,0.981
0.5,0.981
1.0,0.980
1.5,0.980
2.0,0.979
2.5,0.979
3.0,0.978
3.5,0.977
4.0,0.976
4.5,0.975
5.0,0.974
5.5,0.973
6.0,0.971
6.5,0.970
7.0,0.969
7.5,0.968
8.0,0.967
8.5,0.966
9.0,0.965
9.5,0.964
10.0,0.962
10.5,0.961
11.0,0.960
11.5,0.959
12.0,0.958
12.5,0.957
13.0,0.956
13.5,0.955
14.0,0.954
14.5,0.954
15.0,0.953
15.5,0.952
16.0,0.951
16.5,0.950
17.0,0.949
17.5,0.948
18.0,0.947
18.5,0.946
19.0,0.945
19.5,0.944
20.0,0.943
20.5,0.942
21.0,0.941
21.5,0.940
22.0,0.939
22.5,0.938
23.0,0.937
23.5,0.936
24.0,0.935
24.5,0.934
25.0,0.933
25.5,0.932
26.0,0.931
26.5,0.930
27.0,0.928
27.5,0.928
28.0,0.926
28.5,0.925
29.0,0.924
29.5,0.923
30.0,0.922
30.5,0.921
31.0,0.920
31.5,0.919
32.0,0.918
32.5,0.917
33.0,0.916
33.5,0.915
34.0,0.914
34.5,0.913
35.0,0.912
35.5,0.912
36.0,0.911
36.5,0.911
37.0,0.910
37.5,0.909
38.0,0.908
38.5,0.907
39.0,0.905
39.5,0.904
40.0,0.903
40.5,0.902
41.0,0.901
41.5,0.900
42.0,0.899
42.5,0.898
43.0,0.897
43.5,0.896
44.0,0.895
44.5,0.894
45.0,0.893
45.5,0.892
46.0,0.891
46.5,0.890
47.0,0.889
47.5,0.888
48.0,0.887
48.5,0.886
49.0,0.885
49.5,0.884
50.0,0.883
50.5,0.882
51.0,0.881
51.5,0.880
52.0,0.879
52.5,0.878
53.0,0.877
53.5,0.877
54.0,0.876
54.5,0.875
55.0,0.874
55.5,0.873
56.0,0.872
56.5,0.871
57.0,0.870
57.5,0.869
58.0,0.868
58.5,0.867
59.0,0.867
59.5,0.866
60.0,0.865
60.5,0.864
61.0,0.863
61.5,0.862
62.0,0.861
62.5,0.860
63.0,0.859
63.5,0.859
64.0,0.858
64.5,0.857
65.0,0.856
65.5,0.855
66.0,0.854
66.5,0.853
67.0,0.852
67.5,0.851
68.0,0.850
68.5,0.850
69.0,0.849
69.5,0.848
70.0,0.847
70.5,0.846
71.0,0.845
71.5,0.844
72.0,0.843
72.5,0.842
73.0,0.841
73.5,0.841
74.0,0.840
74.5,0.839
75.0,0.838
75.5,0.837
76.0,0.836
76.5,0.836
77.0,0.835
77.5,0.834
78.0,0.833
78.5,0.832
79.0,0.831
79.5,0.830
80.0,0.830
80.5,0.829
81.0,0.828
81.5,0.827
82.0,0.826
82.5,0.825
83.0,0.825
83.5,0.824
84.0,0.823
84.5,0.822
85.0,0.821
85.5,0.820
86.0,0.819
86.5,0.819
87.0,0.818
87.5,0.817
88.0,0.816
88.5,0.815
89.0,0.814
89.5,0.814
90.0,0.813
90.5,0.812
91.0,0.811
91.5,0.810
92.0,0.809
92.5,0.809
93.0,0.808
93.5,0.807
94.0,0.806
94.5,0.805
95.0,0.804
95.5,0.804
96.0,0.803
96.5,0.802
97.0,0.801
97.5,0.800
98.0,0.800
98.5,0.799
99.0,0.798
99.5,0.797
100.0,0.796
100.5,0.796
101.0,0.795
101.5,0.794
102.0,0.793
102.5,0.792
103.0,0.792
103.5,0.791
104.0,0.790
104.5,0.789
105.0,0.788
105.5,0.788
106.0,0.787
106.5,0.786
107.0,0.785
107.5,0.784
108.0,0.784
108.5,0.783
109.0,0.782
109.5,0.781
110.0,0.780
110.5,0.780
111.0,0.779
111.5,0.778
112.0,0.777
112.5,0.776
113.0,0.776
113.5,0.775
114.0,0.774
114.5,0.773
115.0,0.773
115.5,0.772
116.0,0.771
116.5,0.770
117.0,0.770
117.5,0.769
118.0,0.768
118.5,0.767
119.0,0.766
119.5,0.766
120.0,0.765
120.5,0.764
121.0,0.763
121.5,0.762
122.0,0.762
122.5,0.761
123.0,0.760
123.5,0.759
124.0,0.758
124.5,0.758
125.0,0.757
125.5,0.756
126.0,0.755
126.5,0.755
127.0,0.754
127.5,0.753
128.0,0.752
128.5,0.752
129.0,0.751
129.5,0.750
130.0,0.749
130.5,0.748
131.0,0.748
131.5,0.747
132.0,0.746
132.5,0.746
133.0,0.745
133.5,0.744
134.0,0.743
134.5,0.743
135.0,0.742
135.5,0.741
136.0,0.741
136.5,0.740
137.0,0.739
137.5,0.738
138.0,0.738
138.5,0.737
139.0,0.736
139.5,0.735
140.0,0.734
140.5,0.734
141.0,0.733
141.5,0.732
142.0,0.731
142.5,0.731
143.0,0.730
143.5,0.729
144.0,0.728
144.5,0.728
145.0,0.727
145.5,0.726
146.0,0.725
146.5,0.725
147.0,0.724
147.5,0.723
148.0,0.722
148.5,0.721
149.0,0.721
149.5,0.720
150.0,0.719
150.5,0.719
151.0,0.718
151.5,0.717
152.0,0.716
152.5,0.716
153.0,0.715
153.5,0.714
154.0,0.714
154.5,0.713
155.0,0.712
155.5,0.711
156.0,0.711
156.5,0.710
157.0,0.709
157.5,0.709
158.0,0.708
158.5,0.707
159.0,0.706
159.5,0.706
160.0,0.705
160.5,0.704
161.0,0.703
161.5,0.703
162.0,0.702
162.5,0.701
163.0,0.701
163.5,0.700
164.0,0.699
164.5,0.698
165.0,0.698
165.5,0.697
166.0,0.696
166.5,0.696
167.0,0.695
167.5,0.694
168.0,0.694
168.5,0.693
169.0,0.692
169.5,0.692
170.0,0.691
170.5,0.690
171.0,0.689
171.5,0.689
172.0,0.688
172.5,0.687
173.0,0.687
173.5,0.686
174.0,0.685
174.5,0.685
175.0,0.684
175.5,0.683
176.0,0.683
176.5,0.682
177.0,0.681
177.5,0.681
178.0,0.680
178.5,0.679
179.0,0.679
179.5,0.678
180.0,0.677
180.5,0.677
181.0,0.676
